uid,county,address,value,minimum_bid,status,sale_type,sale_notes,account_nbr,cause_nbr,coordinates
1009584903,GALVESTON COUNTY,602 HOBBS RD LEAGUE CITY TX 77573-5125,630815,,Available for Future Sale,FUTURE SALE,,8.60006E+14,17-TX-0290,"-95.115238, 29.494372"
1010007335,GALVESTON COUNTY,1326 FOREMAN ST LA MARQUE TX 77568-5418,188530,11409.85,Available for Future Sale,FUTURE SALE,Taxes for tax year 2024 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.79E+14,20-TX-0202,"-94.969569, 29.36708"
1010215850,GALVESTON COUNTY,3012 BANK ST DICKINSON TX 77539-5106,3710,,Available for Future Sale,FUTURE SALE,,8.30056E+14,13TX0419,"-95.04847, 29.462185"
1014570379,GALVESTON COUNTY,523 11TH ST DICKINSON TX 77539,38560,,Available for Future Sale,FUTURE SALE,,8.30062E+14,20-TX-0429,"-94.923127, 29.490224"
1008694902,GALVESTON COUNTY,2501 IRONCLAD DR LEAGUE CITY TX 77573-3312,47320,,Available for Future Sale,FUTURE SALE,,8.60005E+14,17-TX-0525,"-95.124702, 29.489817"
1008778387,GALVESTON COUNTY,   ,22040,9725.77,Available for Future Sale,FUTURE SALE,***Taxes for tax year 2024 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.725E+14,21-TX-0031,"-94.963987, 29.340543"
1008775955,GALVESTON COUNTY,5809 HIGHWAY 6 HITCHCOCK TX 77563-4203,10150,,Available for Future Sale,FUTURE SALE,,7.727E+14,15-TX-0849,"-94.986217, 29.338995"
1009048502,GALVESTON COUNTY,5921 WOODROW ST TEXAS CITY TX 77591-4159,133670,11998.11,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.745E+14,23-TX-0688,"-94.978583, 29.386922"
1009048559,GALVESTON COUNTY,VACANT LOT AT 4301 URSULINE GALVESTON TX 77550,79380,10884.7,Available for Future Sale,FUTURE SALE,Taxes for tax year 2022 and all prior years are included in this sale.  Taxes for year 2023 and future years must be paid by bidder as they are assessed.,7.785E+14,22-TX-0293,"-94.81353, 29.28931"
1009243232,GALVESTON COUNTY,3602 AVENUE R 1/2 GALVESTON TX 77550-8818,293520,8139.31,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.681E+14,23-TX-0232,"-94.802965, 29.283997"
1016329880,GALVESTON COUNTY,2302 WIMCREST ST GALVESTON TX 77551-1237,185050,4552.28,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.685E+14,23-TX-0421,"-94.839932, 29.273068"
1009047481,GALVESTON COUNTY,55 W 7TH ST KEMAH TX 77565-2611,244780,,Available for Future Sale,FUTURE SALE,,7.487E+14,22-TX-0426,"-95.022937, 29.542551"
1009999060,GALVESTON COUNTY,1512 MAPLE ST LA MARQUE TX 77568-6202,184000,7769.03,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.513E+14,19-TX-0184,"-94.954536, 29.36674"
1008918055,GALVESTON COUNTY,VACANT PARCEL - SW OF ISLA DEL SOL DR GALVESTON TX 77554,6090,6090,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.44E+14,20-TX-0292,"-95.058529, 29.139803"
1009659680,GALVESTON COUNTY,210 27TH ST N TEXAS CITY TX 77590,96890,7807.19,Available for Future Sale,FUTURE SALE,Taxes for tax year 2022 and all prior years are included in this sale.  Taxes for future years must be paid by bidder.,7.042E+14,21-TX-0351,"-94.933612, 29.386871"
1008626092,GALVESTON COUNTY,2517 21ST AVE N TEXAS CITY TX 77590-4813,239750,24906.74,Available for Future Sale,FUTURE SALE,Taxes for 2024 and prior years included in this sale.  Taxes for future years must be paid by bidder.,7.11E+14,24-TX-0442,"-94.931807, 29.404422"
1009128443,GALVESTON COUNTY,VACANT LOT AT 3010 9 MILE RD GALVESTON TX 77554-9555,4280,4280,Available for Future Sale,FUTURE SALE,**Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for year 2024 and future years must be paid by bidder.,7.206E+14,20-TX-0424,"-94.902759, 29.23575"
1009981500,GALVESTON COUNTY,831 5TH AVE N TEXAS CITY TX 77590-7551,205250,6785.38,Available for Future Sale,FUTURE SALE,**Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for year 2024 and future years must be paid by bidder.,7.03002E+14,23-TX-0532,"-94.906903, 29.389053"
1015011549,GALVESTON COUNTY,721 16TH AVE N TEXAS CITY TX 77590-5735,98430,14632.83,Available for Future Sale,FUTURE SALE,Taxes for tax year 2022 and all prior years are included in this sale.  Taxes for year 2023 and future years must be paid by bidder.,7.03004E+14,23-TX-0121,"-94.904976, 29.399913"
1009152143,GALVESTON COUNTY,VACANT LOTS AT 202 & 205 6TH ST S TEXAS CITY TX 77590,24070,12669.7,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and prior years are included in this sale. Future years taxes must be paid by bidder. Property is within Industrial Buffer District and CANNOT be used for residential purposes.,7.03002E+14,18-TX-0275,"-94.90282, 29.381871"
1010112986,GALVESTON COUNTY,VACANT LOT IN 300 BLOCK OF 1ST AVE N TEXAS CITY TX 77590,16410,3683.33,Available for Future Sale,FUTURE SALE,Taxes for tax year 2020 and all prior years are included in this sale.  Taxes for tax year 2021 and future years are not included in this sale and must be paid by bidder in addition to the bid amount.,7.03E+14,18-TX-0287,"-94.898413, 29.385341"
1010063562,GALVESTON COUNTY,415 3RD AVE N TEXAS CITY TX 77590-7952,171890,7355.25,Available for Future Sale,FUTURE SALE,Taxes for tax year 2022 and all prior years are included in this sale.  Taxes for year 2023 and future years must be paid by bidder.,7.03001E+14,17-TX-0473,"-94.900263, 29.386748"
1009826713,GALVESTON COUNTY,VACANT LOT IN 2800 BLOCK OF N SONNY LN GALVESTON TX 77554,56600,12816.76,Available for Future Sale,FUTURE SALE,Taxes for tax year 2023 and all prior years are included in this sale.  Taxes for year 2024 and future years must be paid by bidder.,6.85E+14,17-TX-0128,"-94.906256, 29.238706"
1016691872,GALVESTON COUNTY,20 2ND AVE N TEXAS CITY TX 77590-7905,82840,10200.03,Available for Future Sale,FUTURE SALE,Taxes for 2023 prior years are included in this sale.  Taxes for future years must be paid by bidder. Property is within city's Industrial Bufffer District and CANNOT be used for residential purposes.,7.03E+14,23-TX-0533,"-94.894298, 29.38632"
1009965115,GALVESTON COUNTY,7210 CANARY CIR TEXAS CITY TX 77591-3656,148610,8481.96,Available for Future Sale,FUTURE SALE,Taxes for tax year 2022 and all prior years are included in this sale.  Taxes for year 2023 and future years must be paid by bidder.,6.625E+14,23-TX-0076,"-94.991334, 29.382828"
